"날짜","현재가","오픈","고가","저가","거래량","변동 %"
"2019년 02월 01일","3,467.9","3,437.7","3,485.7","3,415.3","481.58K","0.90%"
"2019년 01월 31일","3,437.2","3,460.0","3,484.7","3,427.0","477.07K","-0.66%"
"2019년 01월 30일","3,460.0","3,414.6","3,479.0","3,394.2","600.25K","1.32%"
"2019년 01월 29일","3,414.8","3,442.8","3,450.1","3,368.2","585.46K","-0.81%"
"2019년 01월 28일","3,442.8","3,555.8","3,561.2","3,395.7","620.85K","-3.17%"
"2019년 01월 27일","3,555.6","3,570.9","3,583.2","3,509.2","464.02K","-0.43%"
"2019년 01월 26일","3,570.9","3,572.0","3,652.5","3,556.1","432.55K","-0.03%"
"2019년 01월 25일","3,572.0","3,574.3","3,582.6","3,542.2","448.89K","-0.06%"
"2019년 01월 24일","3,574.3","3,561.4","3,587.0","3,539.7","428.60K","0.36%"
"2019년 01월 23일","3,561.5","3,580.1","3,608.3","3,532.8","445.87K","-0.52%"
"2019년 01월 22일","3,580.1","3,536.9","3,607.9","3,465.2","447.70K","1.23%"
"2019년 01월 21일","3,536.7","3,542.7","3,561.4","3,505.4","394.17K","-0.16%"
"2019년 01월 20일","3,542.3","3,676.2","3,699.1","3,503.9","563.31K","-3.68%"
"2019년 01월 19일","3,677.8","3,605.8","3,715.2","3,604.1","537.06K","2.00%"
"2019년 01월 18일","3,605.6","3,626.3","3,627.9","3,575.7","488.16K","-0.57%"
"2019년 01월 17일","3,626.4","3,588.1","3,636.7","3,554.8","525.10K","1.07%"
"2019년 01월 16일","3,588.0","3,570.6","3,644.1","3,561.4","487.34K","0.47%"
"2019년 01월 15일","3,571.3","3,637.5","3,660.8","3,545.7","544.85K","-1.84%"
"2019년 01월 14일","3,638.1","3,490.4","3,672.0","3,490.4","539.93K","4.24%"
"2019년 01월 13일","3,490.2","3,597.3","3,617.6","3,473.2","452.79K","-2.98%"
"2019년 01월 12일","3,597.2","3,616.6","3,633.9","3,561.3","435.06K","-0.53%"
"2019년 01월 11일","3,616.5","3,603.3","3,655.7","3,563.1","551.64K","0.35%"
"2019년 01월 10일","3,603.7","3,978.9","4,007.7","3,562.1","697.31K","-9.41%"
"2019년 01월 09일","3,978.0","3,971.0","4,014.2","3,957.5","473.42K","0.17%"
"2019년 01월 08일","3,971.0","3,985.8","4,070.5","3,943.1","514.08K","-0.37%"
"2019년 01월 07일","3,985.9","4,004.3","4,028.0","3,945.5","500.88K","-0.45%"
"2019년 01월 06일","4,004.1","3,785.7","4,034.1","3,758.5","529.89K","5.78%"
"2019년 01월 05일","3,785.4","3,802.8","3,846.7","3,769.0","468.45K","-0.46%"
"2019년 01월 04일","3,802.7","3,780.5","3,823.9","3,720.0","488.70K","0.60%"
"2019년 01월 03일","3,780.1","3,874.1","3,875.8","3,753.0","450.32K","-2.42%"
"2019년 01월 02일","3,873.8","3,809.7","3,894.8","3,768.1","554.47K","1.69%"
"2019년 01월 01일","3,809.4","3,709.5","3,814.3","3,664.4","469.11K","2.69%"
"2018년 12월 31일","3,709.4","3,815.1","3,819.6","3,658.8","545.83K","-2.77%"
"2018년 12월 30일","3,815.0","3,708.2","3,837.7","3,682.5","519.17K","2.92%"
"2018년 12월 29일","3,706.8","3,861.6","3,899.6","3,696.0","505.41K","-4.01%"
"2018년 12월 28일","3,861.6","3,587.1","3,900.3","3,565.5","565.24K","7.66%"
"2018년 12월 27일","3,586.9","3,793.4","3,822.6","3,560.8","543.44K","-5.45%"
"2018년 12월 26일","3,793.7","3,762.8","3,841.9","3,680.3","567.11K","0.83%"
"2018년 12월 25일","3,762.5","4,025.6","4,030.7","3,676.5","670.94K","-6.55%"
"2018년 12월 24일","4,026.1","3,944.5","4,208.2","3,941.9","716.29K","2.07%"
"2018년 12월 23일","3,944.4","3,964.3","4,037.1","3,904.6","572.21K","-0.50%"
"2018년 12월 22일","3,964.4","3,850.9","3,977.2","3,803.7","554.59K","2.95%"
"2018년 12월 21일","3,850.9","4,075.2","4,153.1","3,786.9","748.76K","-5.52%"
"2018년 12월 20일","4,076.0","3,687.2","4,140.3","3,665.8","958.58K","10.55%"
"2018년 12월 19일","3,687.1","3,668.1","3,924.7","3,647.5","792.40K","0.52%"
"2018년 12월 18일","3,668.0","3,526.0","3,683.1","3,456.9","698.53K","4.02%"
"2018년 12월 17일","3,526.1","3,248.3","3,597.4","3,243.1","534.78K","8.57%"
"2018년 12월 16일","3,247.9","3,228.6","3,305.0","3,225.9","335.69K","0.60%"
"2018년 12월 15일","3,228.7","3,247.8","3,282.3","3,177.0","332.95K","-0.59%"
"2018년 12월 14일","3,247.8","3,315.4","3,336.6","3,199.1","445.56K","-2.04%"
"2018년 12월 13일","3,315.3","3,466.2","3,474.4","3,284.8","435.89K","-4.35%"
"2018년 12월 12일","3,466.1","3,390.2","3,510.2","3,379.4","391.17K","1.72%"
"2018년 12월 11일","3,407.7","3,460.4","3,485.9","3,349.9","418.53K","-1.53%"
"2018년 12월 10일","3,460.5","3,566.9","3,622.4","3,412.7","394.49K","-3.00%"
"2018년 12월 09일","3,567.5","3,430.3","3,677.6","3,424.2","327.93K","4.00%"
"2018년 12월 08일","3,430.4","3,422.3","3,507.7","3,302.9","424.40K","0.24%"
"2018년 12월 07일","3,422.2","3,508.9","3,626.6","3,251.8","639.33K","-2.46%"
"2018년 12월 06일","3,508.6","3,771.4","3,887.2","3,505.7","467.54K","-6.97%"
"2018년 12월 05일","3,771.6","3,958.1","3,974.1","3,765.2","341.60K","-4.72%"
"2018년 12월 04일","3,958.5","3,899.9","4,082.9","3,809.3","326.71K","1.56%"
"2018년 12월 03일","3,897.8","4,160.3","4,177.0","3,839.9","355.10K","-6.31%"
"2018년 12월 02일","4,160.4","4,196.2","4,316.1","4,105.3","298.63K","-0.85%"
"2018년 12월 01일","4,196.2","4,038.7","4,299.1","3,967.1","316.30K","3.87%"
"2018년 11월 30일","4,039.7","4,296.8","4,340.6","3,954.5","444.52K","-5.98%"
"2018년 11월 29일","4,296.5","4,265.5","4,440.1","4,140.6","414.46K","0.73%"
"2018년 11월 28일","4,265.4","3,866.4","4,391.8","3,866.4","533.04K","10.32%"
"2018년 11월 27일","3,866.5","3,840.3","3,920.6","3,687.8","457.27K","0.77%"
"2018년 11월 26일","3,837.0","4,061.0","4,179.0","3,679.8","571.04K","-5.54%"
"2018년 11월 25일","4,062.2","3,920.3","4,198.4","3,634.2","619.95K","3.62%"
"2018년 11월 24일","3,920.4","4,397.3","4,494.6","3,821.5","382.72K","-10.86%"
"2018년 11월 23일","4,398.0","4,360.9","4,455.6","4,223.7","348.99K","0.96%"
"2018년 11월 22일","4,356.0","4,646.4","4,695.7","4,346.7","261.85K","-6.09%"
"2018년 11월 21일","4,638.7","4,523.0","4,743.7","4,393.0","412.74K","2.52%"
"2018년 11월 20일","4,524.6","4,883.6","5,013.4","4,272.3","714.08K","-7.36%"
"2018년 11월 19일","4,883.8","5,660.4","5,662.5","4,831.1","478.26K","-13.69%"
"2018년 11월 18일","5,658.3","5,621.0","5,727.9","5,615.5","158.68K","0.65%"
"2018년 11월 17일","5,621.8","5,636.2","5,645.5","5,561.4","156.51K","-0.26%"
"2018년 11월 16일","5,636.2","5,723.5","5,747.7","5,539.7","224.12K","-1.45%"
"2018년 11월 15일","5,718.9","5,854.0","5,878.5","5,384.1","375.86K","-2.11%"
"2018년 11월 14일","5,842.4","6,428.9","6,453.3","5,619.2","438.21K","-9.13%"
"2018년 11월 13일","6,429.2","6,435.0","6,466.8","6,386.7","137.60K","-0.09%"
"2018년 11월 12일","6,435.0","6,445.0","6,475.9","6,409.4","130.16K","-0.17%"
"2018년 11월 11일","6,446.1","6,427.1","6,451.7","6,359.0","127.40K","0.30%"
"2018년 11월 10일","6,427.1","6,411.9","6,461.7","6,411.7","115.87K","0.24%"
"2018년 11월 09일","6,412.0","6,473.8","6,496.1","6,390.0","151.60K","-0.96%"
"2018년 11월 08일","6,474.0","6,565.3","6,577.3","6,466.3","159.30K","-1.39%"
"2018년 11월 07일","6,565.3","6,503.1","6,594.3","6,502.0","170.76K","0.96%"
"2018년 11월 06일","6,502.8","6,460.4","6,509.6","6,441.6","154.87K","0.67%"
"2018년 11월 05일","6,459.7","6,478.2","6,489.2","6,431.7","128.51K","-0.29%"
"2018년 11월 04일","6,478.2","6,386.2","6,508.9","6,359.7","128.76K","1.44%"
"2018년 11월 03일","6,386.2","6,424.5","6,429.5","6,346.2","112.84K","-0.60%"
"2018년 11월 02일","6,424.7","6,400.5","6,444.3","6,390.9","135.87K","0.38%"
"2018년 11월 01일","6,400.5","6,365.9","6,421.8","6,354.2","124.16K","0.54%"
"2018년 10월 31일","6,365.9","6,327.9","6,405.7","6,257.8","129.06K","0.64%"
"2018년 10월 30일","6,325.7","6,336.7","6,469.9","6,316.5","128.21K","-0.15%"
"2018년 10월 29일","6,335.0","6,486.1","6,498.4","6,310.5","160.52K","-2.33%"
"2018년 10월 28일","6,486.1","6,494.6","6,502.2","6,461.2","93.97K","-0.12%"
"2018년 10월 27일","6,494.2","6,510.0","6,534.0","6,473.7","76.72K","-0.24%"
"2018년 10월 26일","6,510.0","6,507.0","6,570.5","6,498.5","97.17K","0.05%"
"2018년 10월 25일","6,507.0","6,532.5","6,544.8","6,491.5","97.43K","-0.36%"
"2018년 10월 24일","6,530.7","6,531.2","6,593.8","6,522.6","98.74K","0.03%"
"2018년 10월 23일","6,528.7","6,558.6","6,573.6","6,500.5","108.86K","-0.41%"
"2018년 10월 22일","6,555.8","6,583.0","6,612.7","6,529.5","101.57K","-0.41%"
"2018년 10월 21일","6,583.0","6,575.9","6,643.1","6,568.0","92.94K","0.16%"
"2018년 10월 20일","6,572.2","6,511.7","6,593.7","6,495.9","97.77K","0.92%"
"2018년 10월 19일","6,512.0","6,576.4","6,603.2","6,506.9","121.44K","-0.94%"
"2018년 10월 18일","6,574.1","6,690.1","6,736.3","6,530.6","134.15K","-1.68%"
"2018년 10월 17일","6,686.6","6,718.9","6,745.9","6,637.8","136.71K","-0.28%"
"2018년 10월 16일","6,705.3","6,712.4","6,836.7","6,645.4","155.85K","0.08%"
"2018년 10월 15일","6,699.8","6,326.8","7,358.4","6,300.2","443.33K","5.90%"
"2018년 10월 14일","6,326.8","6,321.6","6,390.9","6,300.0","99.38K","0.08%"
"2018년 10월 13일","6,321.7","6,291.3","6,329.3","6,282.8","94.45K","0.48%"
"2018년 10월 12일","6,291.3","6,239.2","6,344.8","6,206.8","147.40K","0.84%"
"2018년 10월 11일","6,239.1","6,618.0","6,622.5","6,206.2","245.28K","-5.72%"
"2018년 10월 10일","6,618.0","6,650.6","6,653.5","6,526.0","101.93K","-0.49%"
"2018년 10월 09일","6,650.8","6,669.6","6,678.9","6,613.3","80.79K","-0.28%"
"2018년 10월 08일","6,669.6","6,611.0","6,699.5","6,589.9","119.68K","0.89%"
"2018년 10월 07일","6,611.0","6,596.3","6,633.9","6,523.8","77.06K","0.22%"
"2018년 10월 06일","6,596.3","6,639.1","6,661.5","6,550.4","9.18M","-0.65%"
"2018년 10월 05일","6,639.1","6,584.2","6,682.3","6,537.6","9.34M","0.83%"
"2018년 10월 04일","6,584.2","6,509.2","6,653.0","6,487.8","9.31M","1.17%"
"2018년 10월 03일","6,507.8","6,549.9","6,563.5","6,429.6","9.21M","-0.64%"
"2018년 10월 02일","6,549.9","6,608.2","6,645.7","6,034.9","9.34M","-0.88%"
"2018년 10월 01일","6,608.2","6,635.2","6,674.7","6,072.7","9.19M","-0.41%"
"2018년 09월 30일","6,635.2","6,603.9","6,673.9","6,533.5","9.34M","0.47%"
"2018년 09월 29일","6,603.9","6,633.9","6,648.4","6,464.4","9.42M","-0.48%"
"2018년 09월 28일","6,636.0","6,685.7","6,809.2","6,538.6","9.57M","-0.79%"
"2018년 09월 27일","6,689.2","6,463.7","6,738.3","6,428.8","9.34M","3.42%"
"2018년 09월 26일","6,468.1","6,443.0","6,551.9","6,384.1","8.64M","0.36%"
"2018년 09월 25일","6,445.1","6,590.6","6,590.6","5,977.0","7.34M","-2.11%"
"2018년 09월 24일","6,584.1","6,713.3","6,728.1","6,559.1","7.57M","-1.79%"
"2018년 09월 23일","6,704.1","6,729.6","6,789.4","6,666.4","7.34M","-0.38%"
"2018년 09월 22일","6,729.6","6,766.7","6,833.3","6,635.5","7.31M","-0.55%"
"2018년 09월 21일","6,766.7","6,490.9","6,780.5","6,489.8","7.73M","4.28%"
"2018년 09월 20일","6,489.2","6,390.4","6,537.5","6,346.4","5.18M","1.55%"
"2018년 09월 19일","6,390.4","6,342.0","6,478.7","6,144.5","3.54M","0.76%"
"2018년 09월 18일","6,342.0","6,251.9","6,388.8","6,228.8","2.82M","1.44%"
"2018년 09월 17일","6,251.9","6,500.2","6,533.5","6,215.9","3.26M","-3.82%"
"2018년 09월 16일","6,500.2","6,519.0","6,520.8","6,406.2","3.34M","-0.29%"
"2018년 09월 15일","6,519.0","6,482.6","6,562.9","6,470.3","3.16M","0.54%"
"2018년 09월 14일","6,483.7","6,482.9","6,579.4","6,412.1","3.20M","0.01%"
"2018년 09월 13일","6,482.9","6,338.0","6,867.3","6,337.8","3.53M","2.29%"
"2018년 09월 12일","6,338.0","6,293.9","6,353.5","6,204.5","3.04M","0.70%"
"2018년 09월 11일","6,293.9","6,320.7","6,391.8","6,189.6","3.30M","-0.43%"
"2018년 09월 10일","6,321.0","6,238.5","6,358.5","6,237.3","3.11M","1.32%"
"2018년 09월 09일","6,238.5","6,184.3","6,432.6","6,148.8","2.84M","0.88%"
"2018년 09월 08일","6,184.3","6,390.9","6,484.3","6,132.3","3.46M","-3.23%"
"2018년 09월 07일","6,390.9","6,514.1","6,540.6","6,316.2","3.30M","-1.89%"
"2018년 09월 06일","6,514.0","6,706.8","6,732.9","6,337.8","4.02M","-2.87%"
"2018년 09월 05일","6,706.8","7,377.5","7,407.5","6,691.8","4.55M","-9.09%"
"2018년 09월 04일","7,377.5","7,264.2","7,409.9","7,234.5","3.92M","1.56%"
"2018년 09월 03일","7,264.2","7,289.8","7,330.7","7,182.8","3.87M","-0.41%"
"2018년 09월 02일","7,293.9","7,189.6","7,334.8","7,117.3","3.90M","1.45%"
"2018년 09월 01일","7,189.6","7,032.4","7,264.3","7,020.4","3.52M","2.21%"
"2018년 08월 31일","7,033.8","6,993.7","7,080.2","6,698.0","4.21M","0.57%"
"2018년 08월 30일","6,993.7","7,029.2","7,050.2","6,798.0","3.74M","-0.50%"
"2018년 08월 29일","7,029.1","7,074.6","7,121.4","6,926.7","4.11M","-0.64%"
"2018년 08월 28일","7,074.6","6,897.6","7,129.7","6,861.2","3.79M","2.57%"
"2018년 08월 27일","6,897.6","6,712.7","6,902.9","6,650.4","3.26M","2.75%"
"2018년 08월 26일","6,712.7","6,734.9","6,892.7","6,573.1","3.37M","-0.33%"
"2018년 08월 25일","6,734.8","6,680.6","6,783.4","6,655.3","3.59M","0.81%"
"2018년 08월 24일","6,680.4","6,521.2","6,721.2","6,472.8","3.70M","2.44%"
"2018년 08월 23일","6,521.2","6,359.9","6,550.2","6,359.2","2.76M","2.54%"
"2018년 08월 22일","6,359.6","6,482.2","6,840.8","6,304.8","3.63M","-1.89%"
"2018년 08월 21일","6,482.2","6,268.1","6,484.1","6,257.4","1.46M","3.41%"
"2018년 08월 20일","6,268.1","6,474.2","6,516.4","6,255.9","3.10M","-3.29%"
"2018년 08월 19일","6,481.5","6,379.1","6,534.8","6,316.0","2.71M","1.61%"
"2018년 08월 18일","6,379.1","6,581.8","6,626.4","6,295.5","3.15M","-3.08%"
"2018년 08월 17일","6,581.7","6,306.7","6,581.7","6,291.8","3.20M","4.36%"
"2018년 08월 16일","6,306.7","6,256.9","6,470.9","6,249.8","3.50M","0.80%"
"2018년 08월 15일","6,256.9","6,190.2","6,592.8","6,177.9","3.74M","1.08%"
"2018년 08월 14일","6,190.2","6,255.3","6,255.3","5,898.3","3.66M","-1.04%"
"2018년 08월 13일","6,255.3","6,313.0","6,524.1","6,159.6","234.09K","-0.91%"
"2018년 08월 12일","6,313.0","6,232.1","6,453.0","6,169.8","216.33K","1.31%"
"2018년 08월 11일","6,231.6","6,152.8","6,469.6","6,009.8","247.34K","1.29%"
"2018년 08월 10일","6,152.3","6,539.5","6,570.2","6,043.4","298.82K","-5.91%"
"2018년 08월 09일","6,538.8","6,283.7","6,620.2","6,197.0","237.66K","4.06%"
"2018년 08월 08일","6,283.6","6,725.2","6,725.2","6,138.8","311.54K","-6.56%"
"2018년 08월 07일","6,724.9","6,943.6","7,149.7","6,689.9","232.48K","-3.15%"
"2018년 08월 06일","6,943.6","7,027.8","7,143.6","6,852.5","168.87K","-1.19%"
"2018년 08월 05일","7,027.1","7,014.0","7,087.6","6,887.9","177.64K","0.18%"
"2018년 08월 04일","7,014.3","7,418.9","7,484.2","6,949.7","222.57K","-5.46%"
"2018년 08월 03일","7,419.0","7,535.6","7,535.6","7,293.5","226.46K","-1.55%"
"2018년 08월 02일","7,535.6","7,606.4","7,701.4","7,470.6","216.34K","-0.93%"
"2018년 08월 01일","7,606.4","7,728.5","7,753.2","7,449.2","237.69K","-1.59%"
"2018년 07월 31일","7,729.4","8,176.4","8,176.5","7,649.8","266.94K","-5.48%"
"2018년 07월 30일","8,177.1","8,214.7","8,262.0","7,874.4","242.21K","-0.47%"
"2018년 07월 29일","8,215.6","8,231.5","8,275.4","8,113.3","155.24K","-0.22%"
"2018년 07월 28일","8,234.1","8,186.8","8,234.1","8,077.4","147.14K","0.57%"
"2018년 07월 27일","8,187.4","7,936.9","8,273.8","7,808.3","243.22K","3.15%"
"2018년 07월 26일","7,937.0","8,173.9","8,304.3","7,861.0","235.45K","-2.90%"
"2018년 07월 25일","8,173.7","8,404.9","8,484.6","8,062.1","269.23K","-2.78%"
"2018년 07월 24일","8,407.0","7,723.1","8,479.8","7,701.9","345.32K","8.86%"
"2018년 07월 23일","7,723.0","7,412.4","7,809.6","7,379.2","272.15K","4.19%"
"2018년 07월 22일","7,412.3","7,409.0","7,575.3","7,343.7","204.16K","0.05%"
"2018년 07월 21일","7,408.7","7,339.3","7,460.8","7,223.5","160.77K","0.95%"
"2018년 07월 20일","7,339.4","7,477.6","7,683.6","7,292.0","258.85K","-1.85%"
"2018년 07월 19일","7,477.5","7,383.9","7,558.4","7,288.8","247.25K","1.27%"
"2018년 07월 18일","7,383.6","7,321.6","7,581.2","7,249.3","333.32K","0.84%"
"2018년 07월 17일","7,322.0","6,729.8","7,453.2","6,666.0","337.75K","8.80%"
"2018년 07월 16일","6,729.9","6,362.8","6,749.2","6,344.1","312.12K","5.77%"
"2018년 07월 15일","6,362.9","6,254.8","6,399.6","6,238.5","180.67K","1.73%"
"2018년 07월 14일","6,254.8","6,229.5","6,313.5","6,192.5","243.71K","0.40%"
"2018년 07월 13일","6,230.2","6,250.8","6,333.8","6,144.5","233.22K","-0.33%"
"2018년 07월 12일","6,250.6","6,389.1","6,389.4","6,088.8","289.24K","-2.17%"
"2018년 07월 11일","6,389.1","6,307.2","6,409.7","6,296.6","243.82K","1.30%"
"2018년 07월 10일","6,307.2","6,668.4","6,686.8","6,291.5","315.27K","-5.40%"
"2018년 07월 09일","6,667.1","6,715.1","6,793.8","6,637.7","289.48K","-0.71%"
"2018년 07월 08일","6,714.8","6,765.4","6,784.0","6,694.3","267.60K","-0.75%"
"2018년 07월 07일","6,765.5","6,617.7","6,805.9","6,531.1","114.57K","2.23%"
"2018년 07월 06일","6,617.7","6,546.5","6,638.2","6,458.3","132.69K","1.09%"
"2018년 07월 05일","6,546.5","6,598.0","6,693.6","6,466.1","166.18K","-0.79%"
"2018년 07월 04일","6,598.4","6,513.8","6,774.5","6,442.3","143.04K","1.30%"
"2018년 07월 03일","6,513.5","6,618.6","6,676.6","6,513.5","150.19K","-1.60%"
"2018년 07월 02일","6,619.5","6,349.1","6,680.0","6,275.0","179.92K","3.97%"
"2018년 07월 01일","6,366.8","6,398.5","6,445.1","6,284.7","128.51K","-0.50%"
"2018년 06월 30일","6,398.9","6,213.4","6,498.5","6,204.0","189.33K","2.99%"
"2018년 06월 29일","6,213.3","5,883.2","6,284.9","5,818.5","206.96K","5.61%"
"2018년 06월 28일","5,883.5","6,154.9","6,178.4","5,854.0","156.05K","-4.41%"
"2018년 06월 27일","6,154.9","6,081.1","6,187.3","6,025.4","133.42K","1.20%"
"2018년 06월 26일","6,082.1","6,256.9","6,267.7","6,060.0","176.66K","-2.79%"
"2018년 06월 25일","6,256.6","6,155.1","6,331.2","6,101.7","210.69K","1.66%"
"2018년 06월 24일","6,154.6","6,167.9","6,248.3","5,785.3","240.60K","-0.21%"
"2018년 06월 23일","6,167.3","6,055.2","6,259.0","6,032.8","142.90K","1.84%"
"2018년 06월 22일","6,055.7","6,728.2","6,739.7","5,955.0","278.22K","-9.99%"
"2018년 06월 21일","6,728.0","6,765.8","6,797.5","6,695.1","99.29K","-0.55%"
"2018년 06월 20일","6,765.4","6,752.3","6,812.7","6,575.1","121.48K","0.19%"
"2018년 06월 19일","6,752.4","6,719.8","6,839.5","6,681.5","120.54K","0.49%"
"2018년 06월 18일","6,719.8","6,460.5","6,794.5","6,410.9","135.70K","4.02%"
"2018년 06월 17일","6,460.3","6,505.8","6,593.0","6,452.1","90.67K","-0.70%"
"2018년 06월 16일","6,505.8","6,410.0","6,564.2","6,358.0","108.79K","1.49%"
"2018년 06월 15일","6,410.3","6,647.3","6,655.8","6,395.7","143.53K","-3.56%"
"2018년 06월 14일","6,647.1","6,312.3","6,711.5","6,283.6","201.54K","5.30%"
"2018년 06월 13일","6,312.3","6,558.5","6,624.6","6,129.1","237.48K","-3.75%"
"2018년 06월 12일","6,558.2","6,885.9","6,887.2","6,476.0","178.26K","-4.76%"
"2018년 06월 11일","6,885.9","6,775.2","6,910.8","6,657.2","174.88K","1.64%"
"2018년 06월 10일","6,775.1","7,515.8","7,516.3","6,668.1","275.69K","-9.85%"
"2018년 06월 09일","7,515.8","7,622.1","7,689.0","7,493.3","97.56K","-1.40%"
"2018년 06월 08일","7,622.1","7,697.9","7,710.5","7,556.9","112.88K","-0.98%"
"2018년 06월 07일","7,697.8","7,661.0","7,754.7","7,657.7","124.00K","0.48%"
"2018년 06월 06일","7,661.0","7,631.5","7,699.1","7,504.4","130.66K","0.39%"
"2018년 06월 05일","7,631.5","7,507.4","7,672.6","7,391.0","145.23K","1.69%"
"2018년 06월 04일","7,504.3","7,729.3","7,759.9","7,468.4","141.01K","-2.91%"
"2018년 06월 03일","7,729.3","7,646.6","7,775.0","7,611.3","116.68K","1.08%"
"2018년 06월 02일","7,646.6","7,530.8","7,694.5","7,467.9","121.18K","1.54%"
"2018년 06월 01일","7,530.8","7,502.5","7,610.4","7,375.8","135.92K","0.38%"
"2018년 05월 31일","7,502.6","7,400.8","7,611.9","7,355.0","144.52K","1.39%"
"2018년 05월 30일","7,400.1","7,469.2","7,565.2","7,306.8","140.37K","-0.91%"
"2018년 05월 29일","7,467.7","7,119.3","7,533.0","7,069.8","186.97K","4.89%"
"2018년 05월 28일","7,119.3","7,367.3","7,446.9","7,090.6","152.29K","-3.36%"
"2018년 05월 27일","7,366.7","7,361.9","7,411.8","7,267.5","103.29K","0.07%"
"2018년 05월 26일","7,361.3","7,478.5","7,619.3","7,331.5","103.07K","-1.56%"
"2018년 05월 25일","7,477.7","7,593.9","7,653.4","7,355.6","161.82K","-1.52%"
"2018년 05월 24일","7,592.9","7,512.3","7,736.6","7,293.4","211.11K","1.07%"
"2018년 05월 23일","7,512.3","8,005.7","8,047.4","7,467.6","237.60K","-6.17%"
"2018년 05월 22일","8,006.0","8,403.8","8,414.5","7,979.3","137.51K","-4.73%"
"2018년 05월 21일","8,403.3","8,529.5","8,550.6","8,375.5","115.52K","-1.47%"
"2018년 05월 20일","8,529.0","8,243.9","8,580.4","8,184.7","113.76K","3.44%"
"2018년 05월 19일","8,245.1","8,244.7","8,389.1","8,153.2","107.89K","-0.01%"
"2018년 05월 18일","8,245.7","8,064.4","8,273.6","7,939.8","150.32K","2.27%"
"2018년 05월 17일","8,063.0","8,344.6","8,458.7","8,022.3","154.36K","-3.37%"
"2018년 05월 16일","8,344.4","8,477.0","8,496.4","8,120.1","188.03K","-1.56%"
"2018년 05월 15일","8,477.0","8,674.0","8,842.1","8,436.5","179.62K","-2.27%"
"2018년 05월 14일","8,674.1","8,693.4","8,878.3","8,305.1","212.05K","-0.22%"
"2018년 05월 13일","8,693.5","8,489.1","8,758.4","8,330.0","149.80K","2.77%"
"2018년 05월 12일","8,459.5","8,409.6","8,646.1","8,184.1","210.87K","0.61%"
"2018년 05월 11일","8,408.3","9,026.0","9,028.7","8,359.6","270.62K","-6.84%"
"2018년 05월 10일","9,025.7","9,319.2","9,393.3","9,013.4","152.71K","-3.15%"
"2018년 05월 09일","9,319.1","9,194.9","9,377.9","8,988.0","147.89K","1.33%"
"2018년 05월 08일","9,196.4","9,373.9","9,404.4","9,079.8","157.45K","-2.49%"
"2018년 05월 07일","9,431.6","9,651.1","9,675.6","9,204.2","165.08K","-2.33%"
"2018년 05월 06일","9,656.4","9,859.6","9,957.7","9,446.7","150.95K","-2.00%"
"2018년 05월 05일","9,853.5","9,709.5","9,992.8","9,691.3","158.45K","1.49%"
"2018년 05월 04일","9,708.6","9,747.6","9,800.9","9,549.0","161.55K","-0.42%"
"2018년 05월 03일","9,749.7","9,244.2","9,809.4","9,171.4","201.18K","5.48%"
"2018년 05월 02일","9,243.2","9,076.8","9,265.7","8,991.9","137.48K","1.85%"
"2018년 05월 01일","9,074.9","9,245.1","9,245.1","8,851.0","173.35K","-1.84%"
"2018년 04월 30일","9,245.1","9,415.8","9,456.7","9,135.4","156.83K","-1.80%"
"2018년 04월 29일","9,415.1","9,352.2","9,565.1","9,182.8","184.72K","0.67%"
"2018년 04월 28일","9,352.4","8,940.8","9,428.9","8,895.5","199.78K","4.60%"
